,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
80,547737.0,1189512.0,543880.0,132978.0,600315.0,7283710.0,818612.0,113874.0,3454231.0,674628.0,5664666.0,1376303.0,447138.0,881671.0,797131.0,6238723.0,240836.0,70970.0,99407.0,87128.0,2145811.0,1965584.0,1181190.0,1218902.0,1403279.0,184689.0,350123.0
81,549162.0,1189890.0,538454.0,134960.0,600118.0,7199867.0,812579.0,116590.0,3521281.0,685749.0,5552844.0,1327354.0,435401.0,862912.0,879398.0,6283082.0,224662.0,70200.0,96252.0,91109.0,2263870.0,1945842.0,1163095.0,1239266.0,1381630.0,175034.0,327791.0
82,550614.0,1185914.0,549847.0,133560.0,613179.0,7318274.0,817449.0,118055.0,3657631.0,678451.0,5689706.0,1352061.0,430118.0,858532.0,920636.0,6177687.0,226873.0,71764.0,96931.0,82137.0,2302075.0,1896141.0,1179516.0,1150178.0,1407336.0,171241.0,313468.0
83,548816.0,1190569.0,536898.0,127213.0,607980.0,7292656.0,831841.0,115072.0,3744466.0,681374.0,5542775.0,1328524.0,422537.0,885456.0,913037.0,6055022.0,239344.0,67430.0,95794.0,89711.0,2291842.0,1948381.0,1144643.0,1171829.0,1418438.0,176271.0,331519.0
84,539913.0,1197609.0,535729.0,126581.0,590403.0,7119258.0,822263.0,117791.0,3681127.0,691652.0,5510218.0,1284662.0,416595.0,853281.0,902101.0,5988425.0,220980.0,70571.0,93640.0,86472.0,2380049.0,1919564.0,1131457.0,1179549.0,1408332.0,163276.0,313843.0
85,538967.0,1194552.0,535507.0,125941.0,588270.0,7215808.0,832457.0,109323.0,3764649.0,688109.0,5477382.0,1289800.0,414585.0,833868.0,851302.0,5942313.0,224177.0,70885.0,91972.0,84943.0,2025818.0,1919192.0,1111652.0,1099110.0,1426647.0,159002.0,320306.0
86,551644.0,1212022.0,536077.0,122754.0,572551.0,7313571.0,845291.0,111648.0,3798249.0,680857.0,5581918.0,1324347.0,403690.0,864543.0,744571.0,5982470.0,230046.0,69322.0,91093.0,93247.0,2294284.0,1862394.0,1114948.0,1107753.0,1446897.0,161880.0,318506.0
87,538938.0,1219291.0,534120.0,123780.0,594474.0,7309881.0,860733.0,115661.0,3739538.0,683564.0,5595441.0,1305639.0,398616.0,864013.0,906219.0,5906562.0,224934.0,63578.0,88224.0,88389.0,2448511.0,1822886.0,1095500.0,1120075.0,1460131.0,157713.0,312335.0
88,546876.0,1220297.0,516664.0,127205.0,584623.0,7268089.0,838317.0,115738.0,3661575.0,693104.0,5592733.0,1237934.0,412386.0,859181.0,800024.0,5871467.0,221764.0,72253.0,86989.0,87630.0,2151919.0,1860266.0,1072466.0,1133012.0,1466171.0,163054.0,318572.0
89,545571.0,1241127.0,504477.0,118448.0,558780.0,7361644.0,844381.0,111763.0,3656011.0,672410.0,5568753.0,1273337.0,380150.0,850949.0,825912.0,5768358.0,237089.0,67225.0,89434.0,86531.0,2295059.0,1859423.0,1059091.0,1108218.0,1452115.0,157749.0,313233.0
